# Inscritos
NIF,Nombre,Apellido,FechaNacimiento,Sexo,Club
1,Alberto,Rodriguez,1920-01-01,M,
2,Lucia,Ramirez,1925-01-01,F,
3,Joaquin,Marron,1930-01-01,M,Buena Vista
4,Maria,Pozos,1935-01-01,F,Buena Vista
5,Manuel,Silvio,1940-01-01,M,Buena Vista
6,Alba,Tir,1945-01-01,F,Buena Vista
7,Jonay,Sol,1950-01-01,M,Buena Vista
8,Julia,Lopez,1955-01-01,F,Buena Vista
9,Mariano,Joya,1960-01-01,M,Buena Vista
10,Miriam,Ramirez,1965-01-01,F,Mala Vista
11,Xavier,Font,1970-01-01,M,Mala Vista
12,Silvia,Gallego,1975-01-01,F,Mala Vista
13,Antonio,Gutierrez,1980-01-01,M,Mala Vista
14,Matilde,Flores,1985-01-01,F,Mala Vista
15,George,Orbad,1990-01-01,M,Mala Vista
16,Jazmine,Aguas,1995-01-01,F,Mala Vista
17,Julio,Catedrales,2000-01-01,M,Mala Vista
18,Alberto,Gutierrez,2005-01-01,F,Social Club
19,Lucia,Flores,1945-01-01,M,Social Club
20,Joaquin,Orbad,1950-01-01,F,Social Club
21,Maria,Aguas,1955-01-01,M,Social Club
22,Manuel,Catedrales,1960-01-01,F,Social Club
23,Alba,Rodriguez,1965-01-01,F,Social Club
24,Jonay,Ramirez,1970-01-01,M,Social Club
25,Julia,Marron,1975-01-01,F,Social Club
26,Mariano,Pozos,1980-01-01,M,Social Club
27,Miriam,Silvio,1985-01-01,F,Social Club
28,Xavier,Tir,1990-01-01,M,Social Club
29,Silvia,Joya,1995-01-01,F,Social Club
30,Antonio,Ramirez,2000-01-01,M,Social Club
31,Matilde,Font,2005-01-01,F,Social Club
32,George,Gallego,2010-01-01,M,Social Club
33,Jonay,Font,2010-02-01,M,Social Club

# No inscritos
NIF,Nombre,Apellido,FechaNacimiento,G�nero,Club
34,Manolo,Iglesias,1990-01-01,M,Nueva Vista
35,Laura,Ramos,1995-01-01,F,Nueva Vista
36,Jose,Martinez,2000-01-01,M,Nueva Vista
37,Carolina,Suarez,2005-01-01,F,
38,Mauricio,Rodriguez,2010-01-01,M,
39,Ines,Herrera,2010-01-01,F,
