NIF,Nombre,Apellido,FechaNacimiento,Sexo,Club
10,Miriam,Ramirez,1965-01-01,F,Buena Vista
11,Xavier,Font,1970-01-01,M,Buena Vista
12,Silvia,Gallego,1975-01-01,F,Buena Vista
13,Antonio,Gutierrez,1980-01-01,M,Buena Vista
14,Matilde,Flores,1985-01-01,F,Buena Vista
15,George,Orbad,1990-01-01,M,Buena Vista
16,Jazmine,Aguas,1995-01-01,F,Buena Vista
17,Julio,Catedrales,2000-01-01,M,Buena Vista
34,Manolo,Iglesias,1990-01-01,M,Buena Vista
35,Laura,Ramos,1995-01-01,F,Buena Vista
36,Jose,Martinez,2000-01-01,M,Buena Vista
37,Carolina,Suarez,2000-01-01,F,Buena Vista
38,Mauricio,Rodriguez,2000-01-01,M,Buena Vista
39,Ines,Herrera,2000-01-01,F,Buena Vista
